match,group,date_utc,location,home,away,xg_home,xg_away,p_home,p_draw,p_away,score_pred,top_scores,played,real,ajustada
34,Group E,2026-06-21 00:00:00+00:00,Kansas City Stadium,Ecuador,Curaçao,2.05,0.28,0.7911,0.1696,0.0393,2-0,2-0 (20.4%); 1-0 (19.6%); 3-0 (13.9%),False,,False
35,Group F,2026-06-20 17:00:00+00:00,Houston Stadium,Netherlands,Sweden,2.14,1.08,0.6101,0.2117,0.1782,2-1,2-1 (9.9%); 1-1 (9.7%); 2-0 (9.2%),False,,False
36,Group F,2026-06-21 04:00:00+00:00,Monterrey Stadium,Tunisia,Japan,0.61,1.3,0.1706,0.3037,0.5258,0-1,0-1 (18.6%); 0-0 (15.4%); 0-2 (12.5%),False,,False
37,Group H,2026-06-21 22:00:00+00:00,Miami Stadium,Uruguay,Cape Verde,1.62,0.41,0.6675,0.2452,0.0873,1-0,1-0 (20.8%); 2-0 (17.1%); 0-0 (13.6%),False,,False
38,Group H,2026-06-21 16:00:00+00:00,Atlanta Stadium,Spain,Saudi Arabia,2.67,0.41,0.8455,0.1186,0.0359,2-0,2-0 (16.3%); 3-0 (14.6%); 1-0 (12.0%),False,,False
39,Group G,2026-06-21 19:00:00+00:00,Los Angeles Stadium,Belgium,Iran,1.6,0.9,0.5314,0.2632,0.2055,1-0,1-0 (12.6%); 1-1 (12.4%); 2-0 (10.6%),False,,False
40,Group G,2026-06-22 01:00:00+00:00,BC Place Vancouver,New Zealand,Egypt,0.52,1.13,0.1666,0.335,0.4984,0-1,0-1 (21.1%); 0-0 (19.8%); 0-2 (12.2%),False,,False
41,Group I,2026-06-23 00:00:00+00:00,New York/New Jersey Stadium,Norway,Senegal,1.41,1.0,0.4578,0.2816,0.2606,1-1,1-1 (13.3%); 1-0 (12.0%); 0-0 (9.6%),False,,False
42,Group I,2026-06-22 21:00:00+00:00,Philadelphia Stadium,France,Iraq,2.14,0.45,0.7615,0.1758,0.0627,2-0,2-0 (17.1%); 1-0 (15.6%); 3-0 (12.2%),False,,False
43,Group J,2026-06-22 17:00:00+00:00,Dallas Stadium,Argentina,Austria,1.46,0.56,0.5834,0.2779,0.1388,1-0,1-0 (18.7%); 2-0 (14.1%); 0-0 (13.8%),False,,False
44,Group J,2026-06-23 03:00:00+00:00,San Francisco Bay Area Stadium,Jordan,Algeria,0.94,1.78,0.1919,0.244,0.564,1-1,1-1 (11.6%); 0-1 (11.2%); 0-2 (10.5%),False,,False
45,Group L,2026-06-23 20:00:00+00:00,Boston Stadium,England,Ghana,2.26,0.41,0.7929,0.1574,0.0498,2-0,2-0 (17.7%); 1-0 (15.3%); 3-0 (13.4%),False,,False
46,Group L,2026-06-23 23:00:00+00:00,Toronto Stadium,Panama,Croatia,0.67,2.2,0.0951,0.186,0.7189,0-2,0-2 (13.7%); 0-1 (12.1%); 0-3 (10.1%),False,,False
47,Group K,2026-06-23 17:00:00+00:00,Houston Stadium,Portugal,Uzbekistan,1.71,0.56,0.6467,0.2402,0.1131,1-0,1-0 (17.2%); 2-0 (15.1%); 0-0 (10.9%),False,,False
48,Group K,2026-06-24 02:00:00+00:00,Guadalajara Stadium,Colombia,DR Congo,1.5,0.54,0.6025,0.2706,0.127,1-0,1-0 (19.1%); 2-0 (14.7%); 0-0 (13.6%),False,,False
49,Group C,2026-06-24 22:00:00+00:00,Miami Stadium,Scotland,Brazil,0.79,1.82,0.1544,0.2358,0.6098,0-1,0-1 (12.8%); 0-2 (12.1%); 1-1 (11.1%),False,,False
50,Group C,2026-06-24 22:00:00+00:00,Atlanta Stadium,Morocco,Haiti,2.44,0.4,0.8201,0.1381,0.0418,2-0,2-0 (17.4%); 3-0 (14.2%); 1-0 (14.0%),False,,False
51,Group B,2026-06-24 19:00:00+00:00,BC Place Vancouver,Switzerland,Canada,1.51,1.1,0.4601,0.2696,0.2702,1-1,1-1 (12.8%); 1-0 (10.5%); 2-1 (9.2%),False,,False
