p_home,p_draw,p_away,outcome,tournament
0.21306974827972056,0.24864451812469252,0.5382857335955868,2,Mundial 2022
0.12634405146969574,0.22844658913454355,0.6452093593957606,2,Mundial 2022
0.495765535936126,0.32261911350044076,0.1816153505634331,0,Mundial 2022
0.32065334084854163,0.3514595450205219,0.32788711413093646,1,Mundial 2022
0.7573990301866966,0.19149163766637078,0.05110933214693255,2,Mundial 2022
0.3170280401939646,0.2942427914911308,0.38872916831490467,1,Mundial 2022
0.5478209453883682,0.2884942433028958,0.1636848113087359,1,Mundial 2022
0.6070894089586152,0.24913281668806747,0.143777774353317,0,Mundial 2022
0.5093872663539167,0.2536144554319339,0.23699827821414926,2,Mundial 2022
0.7261858825423909,0.2046882878382094,0.0691258296193999,0,Mundial 2022
0.2921826391975939,0.30481086744816605,0.40300649335424005,1,Mundial 2022
0.6280512036297119,0.21418246399435806,0.15776633237593024,0,Mundial 2022
0.5731160238050379,0.27002520300725413,0.1568587731877082,0,Mundial 2022
0.7569390850330029,0.1785142008731579,0.06454671409383939,0,Mundial 2022
0.526768851776094,0.2989620284247946,0.17426911979911164,1,Mundial 2022
0.7771074320313134,0.17255064447574486,0.05034192349294158,0,Mundial 2022
0.35623272141533,0.28573010594450665,0.3580371726401633,2,Mundial 2022
0.493380128213773,0.27350026230353136,0.23311960948269544,1,Mundial 2022
0.2902324610442465,0.3772662231515102,0.3325013158042433,2,Mundial 2022
0.5519154910216821,0.2845438044595713,0.16354070451874678,1,Mundial 2022
0.5235673245971681,0.2881864123391551,0.1882462630636769,0,Mundial 2022
0.664810791424794,0.2377120373487878,0.09747717122641816,0,Mundial 2022
0.36229297495587165,0.3276119108678339,0.31009511417629454,2,Mundial 2022
0.3440645339497822,0.3161372737426182,0.3397981923075997,0,Mundial 2022
0.48309342279068196,0.3270700771495768,0.18983650005974106,2,Mundial 2022
0.5113589732702151,0.24834122929591082,0.24029979743387403,1,Mundial 2022
0.5480886220747057,0.25558722141846596,0.1963241565068284,2,Mundial 2022
0.47228522239384385,0.2736607009216281,0.25405407668452795,0,Mundial 2022
0.17589113671958906,0.2574751660916755,0.5666336971887355,1,Mundial 2022
0.6986567696933341,0.22226792867961676,0.07907530162704887,0,Mundial 2022
0.45712088503042203,0.3446862618251938,0.19819285314438406,2,Mundial 2022
0.4610134560858524,0.30611763694310523,0.23286890697104223,0,Mundial 2022
0.4900193148290266,0.29875996006439226,0.21122072510658124,2,Mundial 2022
0.1160083619054936,0.17810670111325813,0.7058849369812483,2,Mundial 2022
0.16604805102068088,0.2961520708572711,0.537799878122048,2,Mundial 2022
0.3417878439933556,0.36683113265958156,0.29138102334706284,2,Mundial 2022
0.10982670095222241,0.22191877271093716,0.6682545263368402,2,Mundial 2022
0.20930787327640366,0.33156148041315087,0.45913064631044553,2,Mundial 2022
0.14619658130939892,0.2654176383159919,0.5883857803746093,0,Mundial 2022
0.1621215996196484,0.2720432825181452,0.5658351178622065,0,Mundial 2022
0.14598179531672448,0.24884950095278324,0.6051687037304925,0,Mundial 2022
0.11433758319681758,0.2206947594110569,0.6649676573921254,2,Mundial 2022
0.24630889377783816,0.239463971406824,0.5142271348153375,1,Mundial 2022
0.29538433604110614,0.3196512873117442,0.3849643766471496,2,Mundial 2022
0.3295715107253391,0.27547411944293076,0.39495436983173016,2,Mundial 2022
0.02559839859242629,0.13015895094214275,0.8442426504654309,0,Mundial 2022
0.09154374280552474,0.23916857127989222,0.6692876859145831,2,Mundial 2022
0.10655146863872385,0.24389087402860934,0.6495576573326668,0,Mundial 2022
0.541489896462849,0.2712886853695118,0.18722141816763946,0,Mundial 2022
0.7122085711815008,0.20970125489217725,0.07809017392632182,0,Mundial 2022
0.703211213158498,0.2057902338677119,0.09099855297379011,0,Copa Asia 2024
0.43633048963029397,0.3013542029845518,0.2623153073851544,1,Copa Asia 2024
0.8368260733477748,0.12824724359237705,0.03492668305984818,0,Copa Asia 2024
0.6003745993144679,0.24556975458329283,0.15405564610223932,1,Copa Asia 2024
0.7538141382422767,0.184668017685993,0.06151784407173014,0,Copa Asia 2024
0.7544023706209733,0.17561910068942313,0.06997852868960346,0,Copa Asia 2024
0.7892872119087754,0.16201772729608307,0.04869506079514152,0,Copa Asia 2024
0.07224180342640885,0.16343085212832947,0.7643273444452618,2,Copa Asia 2024
0.6729109429832482,0.22651436075909206,0.10057469625765984,0,Copa Asia 2024
0.11897696667461988,0.19667412785429403,0.6843489054710861,2,Copa Asia 2024
0.4187706495630828,0.27647903476102065,0.3047503156758967,0,Copa Asia 2024
0.4053713202212164,0.3499092774960321,0.24471940228275144,0,Copa Asia 2024
0.208417852038567,0.3481090723371746,0.4434730756242583,1,Copa Asia 2024
0.7143460653670177,0.17815289872240092,0.10750103591058134,0,Copa Asia 2024
0.07274861254657909,0.17234536237924286,0.7549060250741779,2,Copa Asia 2024
0.08118428141778702,0.2060809687194958,0.7127347498627171,2,Copa Asia 2024
0.23390887953143186,0.30308435143109697,0.4630067690374712,1,Copa Asia 2024
0.009778081717575887,0.053121573020660715,0.9371003452617632,2,Copa Asia 2024
0.11362100050169453,0.23581674274187,0.6505622567564355,0,Copa Asia 2024
0.5603120420035566,0.26764630374937154,0.1720416542470721,2,Copa Asia 2024
0.12535492217359784,0.2333999032978095,0.6412451745285928,1,Copa Asia 2024
0.6055513866727511,0.23864851561349473,0.1558000977137543,0,Copa Asia 2024
0.5272272216929953,0.2876518378162953,0.1851209404907096,1,Copa Asia 2024
0.09751873835895539,0.20830975479474154,0.694171506846303,2,Copa Asia 2024
0.6138189764391454,0.2191099664261363,0.16707105713471812,0,Copa Asia 2024
0.36231741611692314,0.3655026189430299,0.27217996494004704,0,Copa Asia 2024
0.5100570333873847,0.2831034210548434,0.20683954555777184,1,Copa Asia 2024
0.48569568023053084,0.3023390861110344,0.21196523365843487,0,Copa Asia 2024
0.10973914065083562,0.2524585063151718,0.6378023530339927,2,Copa Asia 2024
0.6395553576079369,0.23450538376350838,0.12593925862855476,0,Copa Asia 2024
0.47582059285949385,0.3377854670649018,0.18639394007560434,0,Copa Asia 2024
0.9677659642833211,0.02610307866651941,0.006130957050159561,0,Copa Asia 2024
0.3997887630861342,0.30530764196538274,0.29490359494848306,2,Copa Asia 2024
0.8985595715262799,0.07835012346442209,0.023090305009298137,1,Copa Asia 2024
0.1497139672392051,0.2505774215383172,0.5997086112224776,1,Copa Asia 2024
0.6222527468999779,0.251329481900768,0.12641777119925404,1,Copa Asia 2024
0.7602406866190982,0.16860453964441605,0.07115477373648585,0,AFCON 2024
0.5216569610903534,0.28318279179028627,0.19516024711936042,1,AFCON 2024
0.6862081595941306,0.2279024568794571,0.08588938352641234,1,AFCON 2024
0.3398300697126566,0.35519504703719046,0.30497488325015276,2,AFCON 2024
0.63912088216458,0.24234288188386213,0.11853623595155778,0,AFCON 2024
0.5246051388479627,0.283006264297412,0.19238859685462525,1,AFCON 2024
0.64545594142975,0.24209047038848486,0.11245358818176504,1,AFCON 2024
0.5390017066339479,0.2857889024560674,0.17520939090998444,0,AFCON 2024
0.5848871940727293,0.2909288629172367,0.12418394301003403,2,AFCON 2024
0.509411418086772,0.3280788815916587,0.16250970032156925,0,AFCON 2024
0.702509350831086,0.23738844219936392,0.060102206969549876,0,AFCON 2024
0.40090543841869297,0.2749581535881353,0.32413640799317156,1,AFCON 2024
0.35882419036215973,0.34206116955653343,0.2991146400813067,0,AFCON 2024
0.5762697507693031,0.23868371290812881,0.18504653632256812,2,AFCON 2024
0.5085184462451333,0.33981770247743404,0.15166385127743284,1,AFCON 2024
0.4606973604376669,0.3026512392693983,0.2366514002929348,0,AFCON 2024
0.3862453569742068,0.3360339290604729,0.2777207139653203,0,AFCON 2024
0.41119022461354815,0.296604511267116,0.2922052641193358,0,AFCON 2024
0.5209094563635328,0.27377380024981945,0.20531674338664752,1,AFCON 2024
0.27937733451589886,0.3544876838325597,0.36613498165154135,2,AFCON 2024
0.3364642356913407,0.38522914941326214,0.2783066148953972,1,AFCON 2024
0.3558536542104862,0.3498854293539254,0.29426091643558827,0,AFCON 2024
0.6270036270886687,0.2635112716583747,0.10948510125295645,1,AFCON 2024
0.4591382342567817,0.3004649276244502,0.24039683811876808,1,AFCON 2024
0.17137393550992122,0.2690818179918148,0.5595442464982638,2,AFCON 2024
0.7265002989767586,0.18802659801048438,0.08547310301275701,2,AFCON 2024
0.14178737161330796,0.31404916534560734,0.5441634630410845,1,AFCON 2024
0.21859251814115882,0.31171045519181056,0.4696970266670305,1,AFCON 2024
0.15332715118198023,0.2798562929962499,0.56681655582177,2,AFCON 2024
0.150741163960448,0.250119210625559,0.5991396254139929,2,AFCON 2024
0.20902805362717203,0.31988702993697554,0.4710849164358524,0,AFCON 2024
0.08630896899848826,0.1983444224198535,0.7153466085816581,0,AFCON 2024
0.14320546506435586,0.29605408551459356,0.5607404494210505,1,AFCON 2024
0.14182409259798445,0.3250907940513596,0.5330851133506558,1,AFCON 2024
0.20396041001460608,0.3528781259308397,0.44316146405455414,1,AFCON 2024
0.08507104524310882,0.18239114726044764,0.7325378074964435,2,AFCON 2024
0.6772770338245354,0.1848464894866468,0.13787647668881786,0,Euro 2024
0.3091918771275845,0.30329261639604765,0.3875155064763678,2,Euro 2024
0.5035974929610733,0.2791418351744355,0.21726067186449144,0,Euro 2024
0.6087232221719765,0.27232182430819263,0.1189549535198308,0,Euro 2024
0.1968574043820577,0.30986631084857336,0.493276284769369,1,Euro 2024
0.15709677022080754,0.22865230274834264,0.6142509270308497,2,Euro 2024
0.1989748378372781,0.24619743373074512,0.5548277284319765,2,Euro 2024
0.17513214754515527,0.24388689851404158,0.5809809539408033,2,Euro 2024
0.23119347055026218,0.32033414843485747,0.4484723810148804,0,Euro 2024
0.6511652691961052,0.2279753993694037,0.12085933143449104,2,Euro 2024
0.4567355147377109,0.2648029899448271,0.2784614953174619,0,Euro 2024
0.641183870276881,0.22621945250196424,0.1325966772211549,0,Euro 2024
0.6065535975616767,0.21652631205374892,0.17692009038457446,0,Euro 2024
0.26751941411479935,0.2851926054018372,0.4472879804833635,1,Euro 2024
0.6005112890886914,0.2694984985274366,0.12999021238387187,1,Euro 2024
0.4680543385023953,0.29702395113216074,0.23492171036544418,0,Euro 2024
0.2592435541140079,0.28183461811678584,0.45892182776920615,1,Euro 2024
0.20942254606960337,0.3014599538991283,0.4891175000312685,1,Euro 2024
0.30306058438046146,0.28961269481850294,0.4073267208010356,2,Euro 2024
0.2778232418964758,0.2634052030449789,0.45877155505854544,1,Euro 2024
0.2547652465124909,0.31051877485349133,0.4347159786340177,2,Euro 2024
0.6588209613303686,0.23160649466601638,0.10957254400361488,0,Euro 2024
0.23728757867040198,0.2776504474288808,0.4850619739007172,1,Euro 2024
0.10437364931201228,0.18223381694349847,0.7133925337444892,2,Euro 2024
0.5807366884712242,0.21047862197730405,0.20878468955147195,1,Euro 2024
0.29657936153073616,0.31470273293817735,0.3887179055310864,2,Euro 2024
0.06553232785127247,0.18381412399715719,0.7506535481515704,2,Euro 2024
0.3170493508718134,0.3218490872839906,0.36110156184419606,1,Euro 2024
0.6611668931457233,0.23215322567739985,0.10667988117687682,1,Euro 2024
0.4303591551931768,0.2863598639793075,0.28328098082751574,1,Euro 2024
0.49582817688825886,0.2614807014265218,0.24269112168521953,2,Euro 2024
0.6371532236757106,0.22258148656378476,0.1402652897605045,1,Euro 2024
0.3503116625695808,0.34448221218388053,0.3052061252465387,1,Euro 2024
0.1809631512778517,0.2594868095865554,0.559550039135593,1,Euro 2024
0.07093181428032011,0.1607772577403492,0.7682909279793309,0,Euro 2024
0.40770350254837423,0.2740908947704759,0.31820560268114995,2,Euro 2024
0.7708612187363176,0.16524332757727533,0.06389545368640714,0,Copa América 2024
0.32214385826070285,0.3478353220918364,0.33002081964746066,1,Copa América 2024
0.4051887413331682,0.3360377025739667,0.2587735560928651,2,Copa América 2024
0.6168390250655571,0.24439654392133764,0.13876443101310532,0,Copa América 2024
0.6752903354936746,0.19778229930472482,0.12692736520160064,0,Copa América 2024
0.7422215667286547,0.18508013263213252,0.07269830063921277,0,Copa América 2024
0.5753066221179592,0.31050903622791176,0.11418434165412936,0,Copa América 2024
0.8806820965792335,0.09351507353734838,0.025802829883418154,1,Copa América 2024
0.40682073297791865,0.3127759722884337,0.28040329473364745,2,Copa América 2024
0.09728088134639276,0.23592113639233492,0.6667979822612723,2,Copa América 2024
0.6989156744668452,0.21224538042337546,0.08883894510977909,0,Copa América 2024
0.3553949467216597,0.32528673080335646,0.3193183224749838,0,Copa América 2024
0.6711626018980841,0.21382446535562347,0.11501293274629275,2,Copa América 2024
0.753470581854047,0.1681872521571581,0.07834216598879484,0,Copa América 2024
0.7749657289726596,0.16879948341719314,0.05623478761014733,0,Copa América 2024
0.07024978360032533,0.2259027240550495,0.703847492344625,2,Copa América 2024
0.6498406692689764,0.2528535240071614,0.09730580672386216,0,Copa América 2024
0.28079143443515975,0.29670687976159504,0.42250168580324543,1,Copa América 2024
0.24717776260090008,0.3173158250544047,0.4355064123446952,1,Copa América 2024
0.1291586702105592,0.25109890180299693,0.6197424279864436,2,Copa América 2024
0.2527598053030955,0.2959733356898835,0.4512668590070211,2,Copa América 2024
0.3923786095582406,0.2799685821329359,0.3276528083088236,2,Copa América 2024
0.4433964855090099,0.3164291525651579,0.24017436192583236,1,Copa América 2024
0.21326973408914923,0.3524820807593144,0.43424818515153646,0,Copa América 2024
0.8709078788594397,0.09595599029976927,0.03313613084079101,0,Copa Oro 2025
0.5412764536070483,0.2943152251649308,0.16440832122802085,0,Copa Oro 2025
0.9086697784111603,0.06780147281629433,0.023528748772545488,0,Copa Oro 2025
0.20124260105405872,0.2571381557391513,0.5416192432067899,2,Copa Oro 2025
0.6126475162408173,0.26358854454319436,0.12376393921598838,0,Copa Oro 2025
0.384555642535247,0.318078087706121,0.2973662697586319,2,Copa Oro 2025
0.41274825922812486,0.34576853471032976,0.2414832060615455,1,Copa Oro 2025
0.7704851351092802,0.15710773290615399,0.07240713198456591,0,Copa Oro 2025
0.7359320574361237,0.17130562077720882,0.09276232178666746,0,Copa Oro 2025
0.08001293410884372,0.2242251610875409,0.6957619048036152,2,Copa Oro 2025
0.23073660076666536,0.21933117753115733,0.5499322217021774,1,Copa Oro 2025
0.5811504225232196,0.26267833610319863,0.15617124137358177,0,Copa Oro 2025
0.47420365000412235,0.33431516689417995,0.19148118310169754,0,Copa Oro 2025
0.20254492429444182,0.27245796960540597,0.5249971061001522,2,Copa Oro 2025
0.09289760990499538,0.19377547732533662,0.7133269127696682,1,Copa Oro 2025
0.4370063119445228,0.34716554721481035,0.21582814084066682,0,Copa Oro 2025
0.5256414740149721,0.2798806713583621,0.19447785462666572,1,Copa Oro 2025
0.24502558166618935,0.29699939080343096,0.45797502753037966,1,Copa Oro 2025
0.6626117871219774,0.22147261437527285,0.11591559850274963,1,Copa Oro 2025
0.8367875616552581,0.10866862670176018,0.05454381164298147,0,Copa Oro 2025
0.37678895382734556,0.311204405189074,0.31200664098358033,0,Copa Oro 2025
0.7409122789419835,0.19627708202301583,0.06281063903500073,0,Copa Oro 2025
0.4657749991128989,0.2957458648186293,0.23847913606847193,0,Copa Oro 2025
0.22459733343089583,0.3353953003148002,0.4400073662543039,2,Copa Oro 2025
0.9185390965457174,0.06430449499386634,0.01715640846041623,0,AFCON 2025
0.5975954168887005,0.2714155886339707,0.1309889944773287,1,AFCON 2025
0.3723637772123356,0.36055269091222375,0.2670835318754405,0,AFCON 2025
0.56330955531694,0.3054228082319383,0.1312676364511217,0,AFCON 2025
0.5805660742273875,0.29659552451581683,0.12283840125679577,0,AFCON 2025
0.5425446198564912,0.32325649911949145,0.13419888102401736,0,AFCON 2025
0.48357544696741017,0.3063189750485928,0.21010557798399704,0,AFCON 2025
0.7536946437093865,0.18741367551757507,0.05889168077303847,0,AFCON 2025
0.588971689902293,0.2545538024660491,0.15647450763165782,0,AFCON 2025
0.7279932945106007,0.19675957735475139,0.07524712813464787,0,AFCON 2025
0.6308899247312258,0.2517409648363384,0.11736911043243568,0,AFCON 2025
0.5278379764522427,0.2832974162875979,0.18886460726015927,0,AFCON 2025
0.4696443337534937,0.2565380542699487,0.2738176119765576,1,AFCON 2025
0.5224893935998273,0.32540466988959504,0.15210593651057774,1,AFCON 2025
0.43451048965056427,0.3693057236981688,0.196183786651267,1,AFCON 2025
0.37772674043498494,0.3435600189921532,0.27871324057286184,0,AFCON 2025
0.3814343706077613,0.4003325443285649,0.21823308506367406,1,AFCON 2025
0.25222178661292594,0.3404228766403831,0.4073553367466911,0,AFCON 2025
0.4569737627723796,0.3027378421353891,0.24028839509223124,0,AFCON 2025
0.4899664273793195,0.32832227242378825,0.1817113001968922,1,AFCON 2025
0.33244236818481754,0.37053148569985744,0.2970261461153251,2,AFCON 2025
0.5341403231400893,0.24697699555838173,0.21888268130152902,0,AFCON 2025
0.4034159746796169,0.272606784871907,0.3239772404484761,2,AFCON 2025
0.3758534140247496,0.3784902132980109,0.24565637267723966,1,AFCON 2025
0.8485701119092529,0.11566944129560229,0.03576044679514467,0,AFCON 2025
0.08714260593171777,0.20786532384447864,0.7049920702238035,1,AFCON 2025
0.2244559711738985,0.355751657968162,0.41979237085793947,1,AFCON 2025
0.16157986997129323,0.32354691649992734,0.5148732135287793,2,AFCON 2025
0.18848599590185128,0.28804059959906847,0.5234734044990805,2,AFCON 2025
0.08848500621548186,0.33512971544183595,0.5763852783426822,1,AFCON 2025
0.09723729256959215,0.21661067687959465,0.6861520305508131,2,AFCON 2025
0.13759850454041447,0.294579803042691,0.5678216924168944,2,AFCON 2025
0.07801580986025536,0.17569055858675475,0.74629363155299,2,AFCON 2025
0.14493135723846723,0.27771038089518846,0.5773582618663442,2,AFCON 2025
0.136619797254942,0.27151108205760627,0.5918691206874515,2,AFCON 2025
0.1641880050900721,0.2670424737646308,0.5687695211452972,2,AFCON 2025
0.7276947226401375,0.21346997261676312,0.05883530474309956,0,AFCON 2025
0.2983461118269775,0.4153467536214731,0.2863071345515494,1,AFCON 2025
